小时,温度,风力方向,风级,降水量,相对湿度,空气质量
16,5,南风,1,0,23,
15,5,东南风,2,0,27,90
14,5,南风,2,0,29,84
13,4,南风,2,0,31,79
12,2,西南风,2,0,36,80
11,0,西南风,2,0,45,79
10,-1,西南风,1,0,59,83
09,-6,西北风,1,0,93,82
08,-12,东南风,1,0,88,80
07,-12,南风,1,0,87,80
06,-12,东北风,1,0,86,80
05,-11,西南风,1,0,87,82
04,-11,西北风,1,0,84,85
03,-10,西南风,1,0,82,87
02,-9,东北风,1,0,84,86
01,-9,东南风,1,0,79,89
00,-8,西北风,1,0,76,92
23,-8,东南风,1,0,74,97
22,-7,南风,1,0,71,100
21,-7,东北风,1,0,65,107
20,-6,北风,1,0,60,109
19,-4,西北风,1,0,53,110
18,-3,南风,2,0,42,107
17,2,南风,1,0,30,97
